ID,Paikannimi,Paikanlaji,"Kartan numero","Kerääjän karttanumero",X,Y,Pistesij.viite,Pitäjä,Kerääjä,Vuosi,Aakkonen,Kuvatiedosto,Jatko,PEX,"Muut nimet","Todellinen pitäjä",KarttaID,X_euref,Y_euref,HuomioKotus,Kokoelma,Kuvalinkki,RerSer,Emolippu,wgs84_long,wgs84_lat
526,Gisselö,saari,V:3/16,II,6-7,DE,,Ahlainen,"Vasama, Marjatta",1963,G,00000526_F.jpg,,,,,1458,212202.4314288319,6849240.772090149,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000526_F.jpg",491,,21.559848100055,61.668048338999
527,Globbi,saari,V:2/20,V,10,B,5,Ahlainen,"Vasama, Marjatta",1963,G,00000527_F.jpg,,,,,1462,205344.9658484184,6851512.898331171,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000527_F.jpg",492,,21.427271228641,61.683151194308
528,Globbimäki,mäki,V:3/16,II,7,C,17,Ahlainen,"Vasama, Marjatta",1962,G,00000528_F.jpg,,,X,,1458,213759.4475311721,6850526.141664594,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000528_F.jpg",493,,21.587108359048,61.680698941505
528,Globbimäki,talo,V:3/16,II,7,C,18,Ahlainen,"Vasama, Marjatta",1962,G,00000528_F.jpg,,,X,,1458,213607.6322783018,6850547.524093933,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000528_F.jpg",494,,21.58421907946,61.680776830594
529,Glootikallio,kallio,V:3/16,II,6,D,3,Ahlainen,"Vasama, Marjatta",1963,G,00000529_F.jpg,,,,,1458,212309.9171012085,6849373.938699635,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000529_F.jpg",495,,21.561659230404,61.669318900929
530,Graanbakka,mäki,114211,,12,55,7,Ahlainen,"Miikkulainen, Raija",1986,G,00000530_F.jpg,,,,,1483,212885.8724256761,6853029.662492159,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000530_F.jpg",496,,21.566733103151,61.702419871242
531,Graanbakka,mäki,V:3/11,I,6,K,,Ahlainen,"Vasama, Marjatta",1963,G,00000531_F.jpg,,,,,1457,212570.5314591241,6853246.928289712,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000531_F.jpg",497,,21.560454569282,61.704125338496
532,Granfettari,saari,V:3/16,II,2,B,,Ahlainen,"Vasama, Marjatta",1963,G,00000532_F.jpg,,,X,,1458,208314.6701760995,6851573.764399065,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000532_F.jpg",498,,21.483029687057,61.685962749629
532,Granfettarinapaja,saari,V:3/16,II,2,B,1,Ahlainen,"Vasama, Marjatta",1963,G,00000532_F.jpg,,,X,,1458,208513.2832338497,6851170.661874401,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000532_F.jpg",499,,21.487409954346,61.682511698744
533,Granfettari,,,,,,,Ahlainen,"Vasama, Marjatta",1963,G,00000533_F.jpg,J,,,,0,-1,-1,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000533_F.jpg",500,498,-1,-1
534,Grangvist,tila,114211,,17,51,4,Ahlainen,"Miikkulainen, Raija",1986,G,00000534_F.jpg,,,,,1483,217658.3414803162,6848950.392652773,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\G\kotus-201214_0001_AHLAINEN_00000534_F.jpg",501,,21.662894507539,61.669501731047
