Paikanlajiteema_id,Paikanlajiteema,Paikanlajiryhmä_id,Paikanlajiryhmä,Paikanlajialaryhmä_id,Paikanlajialaryhmä,Paikanlaji_id,Paikanlaji,Paikanlajin_kuvaus
,,,,70105,Energiatuotannon yksiköt,,,
,,,,,,7010505,Sähkön- tai lämmöntuotantolaitos,"Sähköä tai lämpöä tuottava voimalaitos; ydin-, vesi-, tuuli- tai muu voimala; tuulipuisto."
,,,,,,7010599,Muu energiatuotannon yksikkö,Muu energiatuotannon yksikkö kuin sähkön tai lämmöntuotantolaitos.
,,,,70199,Muut tuotannon ja teollisuuden yksiköt,,,
,,,,,,7019999,Muu tuotannon tai teollisuuden yksikkö,Muihin paikanlajeihin kuulumaton tuotannon tai teollisuuden yksikkö; varastointialue.
,,702,Kaupan yksiköt,,,,,
,,,,70201,Kauppakeskittymät,,,
,,,,,,7020105,Kauppakeskus,"Suurehko liikerakennus, jossa myymälät ja palvelut avautuvat yleensä sisäänpäin käytävälle tai keskusaukiolle."
,,,,,,7020199,Muu kauppakeskittymä,"Muu kauppakeskittymä kuin kauppakeskus; kauppahalli, ostoskeskus, hypermarket, tavaratalo."
,,,,70299,Muut kaupan ykskiköt,,,
,,,,,,7029999,Muu kaupan yksikkö,Muihin paikanlajeihin kuulumaton kaupan yksikkö.
8,"Kulttuuri-, liikunta- ja vapaa-ajan palvelut",,,,,,,
,,801,Kulttuuripalvelut,,,,,
,,,,80101,Kulttuuripalvelut,,,
,,,,,,8010105,Kulttuuri- tai messukeskus,"Laitos, jossa järjestetään erilaisia kulttuuri- ja messutapahtumia; kulttuuritalo, tiedekeskus, taidekeskus, musiikkitalo tms."
,,,,,,8010110,Museo,"Laitos tai huoneisto, jossa säilytetään yleisön nähtävänä kulttuuri- tai luonnonhistoriallisia, taide- tai muita kokoelmia."
,,,,,,8010115,Teatteri,Paikka jossa esitetään varsinkin näytelmiä; ooppera.
,,,,,,8010120,Muistomerkki tai taideteos,"Henkilön, asian tai tapahtuman muistolle omistettu tai muu merkittävä patsas tai taideteos."
,,,,,,8010199,Muu kulttuuripalvelu,Muihin paikanlajeihin kuulumaton kulttuuripaikka tai -palvelu; kirjasto.
,,802,Urheilu- ja liikuntapaikat,,,,,
,,,,80201,Urheilu- ja liikuntapaikat,,,
,,,,,,8020105,Urheilupuisto,Alue johon on koottu erilaisia urheilupaikkoja.
,,,,,,8020110,Urheilukenttä,"Yleisurheilua ja palloilua varten rakennettu kenttä; urheilustadion.
"
,,,,,,8020115,Urheiluhalli,Urheilutiloja sisältävä rakennus.
,,,,,,8020120,Uimahalli tai uimala,"Rakennus tai paikka jossa on kilpa- ja kuntourheilua varten erilaisia uima-altaita sekä pukeutumis- ja peseytymistilat. 
"
,,,,,,8020125,Golfkenttä,"Golfin pelaamiseen ja siihen liittyvään oheistoimintaan käytettävä alue. 
"
,,,,,,8020130,Hiihto- tai laskettelukeskus,Paikka hiihtoa tai laskettelua varten.
,,,,,,8020135,Ampumarata,"Paikka ampumakilpailuja tai -harjoituksia varten. 
"
,,,,,,8020140,Moottorirata,Paikka moottoriurheilukilpailuja tai -harjoittelua varten.
,,,,,,8020145,Ravirata,Ravikilpailurata.
,,,,,,8020199,Muu urheilu- tai liikuntapaikka,Muihin paikanlajeihin kuulumaton urheilu- tai liikuntapaikka.
,,803,Virkistys- ja vapaa-ajan palvelut,,,,,
,,,,80301,Virkistys- ja vapaa-ajan palvelut,,,
,,,,,,8030105,Huvipuisto,"Huvittelualue jossa voi olla huvilaitteita, pelikojuja yms.; määräaiheen mukaan rakennettu huvipuisto eli teemapuisto."
,,,,,,8030110,Eläintarha,Alue jossa eläimet ovat yleensä aitauksissa yleisön nähtävänä.
,,,,,,8030115,Uimaranta,Yleisenä uimapaikkana käytettävä ranta; myös maauimala.
,,,,,,8030120,Luontokeskus,Metsähallituksen ym. ylläpitämä paikallista luontoa esittelevä keskus.
,,,,,,8030125,Leirikeskus,Leiri- ym. virkistystarkoitukseen rakennettu toimintakeskus.
,,,,,,8030130,"Matkailu-, retkeily- tai lomakeskus","Matkailu-, retkeily- tai lomapalveluja tarjoava paikka."
,,,,,,8030135,Leirintäalue,Leirintää varten varattu alue.
,,,,,,8030140,Siirtola- tai ryhmäpuutarha,Kaupungissa tai sen lähistöllä oleva pieniin vuokrapalstoihin jaettu puutarha-alue mökkeineen.
,,,,,,8030145,Retkeilyreitti,"Yleensä viitoitettu vaellus-, retkeily- tai ulkoilureitti."
,,,,,,8030150,"Autio-, päivä- tai varaustupa","Maksuton (autio- tai päivätupa) tai maksullinen (varaustupa) lepo- ja yöpymismaja erämaassa.
"
,,,,,,8030199,Muu virkistys- tai vapaa-ajan palvelu,Muihin paikanlajeihin kuulumaton virkistys- tai vapaa-ajan palvelu; seurantalo.
9,Muut kulttuurikohteet,,,,,,,
,,999,Muut kulttuurikohteet,,,,,
,,,,99999,Muut kulttuurikohteet,,,
,,,,,,9999905,Merkittävä rakennus,"Merkittävä käytössä oleva rakennus; linna, kartano tms."
,,,,,,9999999,Muu kulttuurikohde,Muihin paikanlajeihin kuulumaton kulttuurikohde tai -palvelu.
