wiki_id,kotus_id,place_name,place_type,name_type,parish,lat,long,precision,collector,collection_year,collection
Q5006399,3212,Peltomäki,tila,paikannimi,Ahlainen,61.746116258,21.626544072,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Miikkulainen, Raija",1986,1-kokoelma
Q5005613,2816,Mäkikappale,pelto,paikannimi,Ahlainen,61.746116258,21.626544072,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Miikkulainen, Raija",1986,1-kokoelma
Q5015580,9142,Lahdenmäki,mäki,paikannimi,Alahärmä,63.336275012,22.808728231,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Laita, Leo",1961,1-kokoelma
Q5003706,1853,Kramppa,kari,paikannimi,Ahlainen,61.620171797,21.529171903,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Miikkulainen, Raija",1974,1-kokoelma
Q5010963,5507,Brändö,pitäjä,paikannimi,Ahvenanmaa,60.527696488,20.905168105,Paikka sijaitsee useiden karttaruutujen alueella. Tämä piste on ensimmäisessä ruudussa.,"Pitkänen, Ritva Liisa",1982,1-kokoelma
Q5011013,5532,Präntiö,pitäjä,paikannimi,Ahvenanmaa,60.527696488,20.905168105,Paikka sijaitsee useiden karttaruutujen alueella. Tämä piste on ensimmäisessä ruudussa.,"Pitkänen, Ritva Liisa",1982,1-kokoelma
Q5010276,5162,Velekrunni,kari,paikannimi,Ahlainen,61.666679534,21.528338112,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Miikkulainen, Raija",1986,1-kokoelma
Q5005709,2864,Nasareetti,pelto,paikannimi,Ahlainen,61.70883531,21.536001211,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Vasama, Marjatta",1962,1-kokoelma
Q5012062,6056,Levonoja,oja,paikannimi,Aitolahti,61.546206181,23.987228842,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Kerttula, Riitta-Liisa",1970,1-kokoelma
Q5001044,516,Gröndal,asumus,paikannimi,Ahlainen,61.66884352,21.668173669,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Miikkulainen, Raija",1986,1-kokoelma
Q5004707,2359,Leppänen,tila,paikannimi,Ahlainen,61.743208899,21.594982249,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Miikkulainen, Raija",1986,1-kokoelma
Q5003053,1524,Kirkkopolku,polku,paikannimi,Ahlainen,61.698932748,21.577056077,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Miikkulainen, Raija",1986,1-kokoelma
Q5000014,5,Aaltonen,tila,paikannimi,Ahlainen,61.696953962,21.495107766,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Miikkulainen, Raija",1986,1-kokoelma
Q5013066,6561,Tiiranen,tienhaara,paikannimi,Aitolahti,61.541304508,23.861672317,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Kivikuru, Ullamaija",1963,1-kokoelma
Q5007268,3649,Pyynreikä,kivenkolo,paikannimi,Ahlainen,61.691486969,21.602905498,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Vasama, Marjatta",1963,1-kokoelma
Q5009274,4657,Södersund,talo,paikannimi,Ahlainen,61.704072726,21.54123332,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Vasama, Marjatta",1962,1-kokoelma
Q5008345,4190,Sandö,niemi,paikannimi,Ahlainen,61.704072726,21.54123332,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Vasama, Marjatta",1962,1-kokoelma
Q5008391,4214,Santaranta,paikka,paikannimi,Ahlainen,61.704072726,21.54123332,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Vasama, Marjatta",1962,1-kokoelma
Q5003274,1635,Knuutila,talo,paikannimi,Ahlainen,61.704072726,21.54123332,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Vasama, Marjatta",1962,1-kokoelma
Q5007602,3817,Renholma,talo,paikannimi,Ahlainen,61.704072726,21.54123332,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Vasama, Marjatta",1962,1-kokoelma
Q5004273,2139,Laine,talo,paikannimi,Ahlainen,61.704072726,21.54123332,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Vasama, Marjatta",1962,1-kokoelma
Q5002625,1309,Kalliosalmi,talo,paikannimi,Ahlainen,61.704072726,21.54123332,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Vasama, Marjatta",1962,1-kokoelma
Q5006329,3177,Paulakangas,talo,paikannimi,Ahlainen,61.704072726,21.54123332,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Vasama, Marjatta",1962,1-kokoelma
Q5008248,4141,Salmisenkari,saari,paikannimi,Ahlainen,61.704072726,21.54123332,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Vasama, Marjatta",1962,1-kokoelma
Q5009260,4650,Södergren,asunto,paikannimi,Ahlainen,61.704072726,21.54123332,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Vasama, Marjatta",1962,1-kokoelma
Q5002049,1021,Isoniitunkallio,kallio,paikannimi,Ahlainen,61.707551031,21.584753703,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Miikkulainen, Raija",1986,1-kokoelma
